2007-01-01,2008-01-01,2009-01-01,2010-01-01,2011-01-01,2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01,2017-01-01,2018-01-01,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01
sh.600809,sh.600839,sh.600886,sh.600886,sh.601099,sh.601288,sh.601555,sh.601618,sh.601866,sh.601888,sh.601919,sh.601901,sh.601919,sh.601898,sh.603019,sh.603501,sh.688005
sh.600811,sh.600851,sh.600887,sh.600895,sh.601107,sh.601299,sh.601558,sh.601628,sh.601888,sh.601898,sh.601928,sh.601919,sh.601933,sh.601899,sh.603087,sh.603517,sh.688008
sh.600812,sh.600859,sh.600895,sh.600900,sh.601111,sh.601318,sh.601566,sh.601633,sh.601898,sh.601899,sh.601933,sh.601933,sh.601939,sh.601901,sh.603156,sh.603658,sh.688012
sh.600820,sh.600863,sh.600900,sh.600970,sh.601117,sh.601328,sh.601600,sh.601666,sh.601899,sh.601901,sh.601939,sh.601939,sh.601985,sh.601919,sh.603160,sh.603659,sh.688036
sh.600832,sh.600868,sh.600961,sh.600997,sh.601139,sh.601333,sh.601601,sh.601668,sh.601901,sh.601919,sh.601958,sh.601958,sh.601988,sh.601933,sh.603195,sh.603799,sh.688065
sh.600834,sh.600874,sh.600978,sh.601001,sh.601166,sh.601369,sh.601607,sh.601669,sh.601928,sh.601928,sh.601985,sh.601966,sh.601989,sh.601939,sh.603259,sh.603806,sh.688111
sh.600835,sh.600875,sh.600997,sh.601005,sh.601168,sh.601377,sh.601618,sh.601688,sh.601929,sh.601933,sh.601988,sh.601985,sh.601991,sh.601985,sh.603288,sh.603833,sh.688126
sh.600839,sh.600879,sh.601001,sh.601006,sh.601169,sh.601390,sh.601628,sh.601699,sh.601933,sh.601939,sh.601989,sh.601988,sh.601992,sh.601988,sh.603369,sh.603882,sh.688169
sh.600851,sh.600881,sh.601003,sh.601009,sh.601179,sh.601398,sh.601633,sh.601717,sh.601939,sh.601958,sh.601998,sh.601989,sh.601997,sh.601989,sh.603392,sh.603899,sh.688363
sh.600854,sh.600886,sh.601005,sh.601088,sh.601186,sh.601519,sh.601666,sh.601766,sh.601958,sh.601969,sh.603000,sh.601991,sh.601998,sh.601992,sh.603501,sh.603939,sh.688396
sh.600863,sh.600887,sh.601006,sh.601111,sh.601288,sh.601558,sh.601668,sh.601800,sh.601988,sh.601985,sh.603885,sh.601992,sh.603156,sh.601997,sh.603658,sh.603986,sh.688561
sh.600868,sh.600895,sh.601009,sh.601166,sh.601299,sh.601600,sh.601669,sh.601808,sh.601989,sh.601988,sh.603993,sh.601997,sh.603160,sh.601998,sh.603799,sh.603993,sh.688599
sh.600871,sh.600900,sh.601088,sh.601168,sh.601318,sh.601601,sh.601688,sh.601818,sh.601992,sh.601989,sz.000001,sh.601998,sh.603259,sh.603019,sh.603833,sh.688008,sh.688981
