,10_20,10_30,10_60,5_20,5_30,5_60
2017-03-13,-0.00017558627962199508,-4.491810868428078e-05,2.0514515196867258e-05,0.00017375812193443449,0.0010674034565179452,1.5745362109771028e-05
2017-03-14,0.0002467076399548294,-2.9483959852193186e-05,-0.0003416339127579497,0.0007260561530192105,-0.00048825462823102713,0.0005180516272136963
2017-03-15,-0.000908138799229814,-5.561514307408299e-05,0.00039481228980172323,0.0009705423970407107,0.0016255979481521385,-2.1946211539735046e-05
2017-03-16,0.00101202590147974,0.00017299774946805767,0.0009814378663756656,-5.11739663860814e-06,0.00014728439568861956,-8.913112780567507e-05
2017-03-17,0.0006169302949714213,-0.0011530187693885,0.0003256496495379202,1.6347483452917888e-05,0.0003045509053319692,7.406383500239443e-05
2017-03-20,0.0006724675839307112,0.00014852977407049837,1.6709835144583404e-05,-6.0287380569806485e-06,6.688653016821572e-05,0.0001105393069518186
2017-03-21,0.00020335611473695572,-0.0007383095960380591,0.0002563847318050384,-6.547652467498421e-05,-0.00013237330479413966,0.0028273181545521364
2017-03-22,0.000309677964212036,-7.534594035665294e-05,-7.34850890074294e-06,-0.00024355951888435157,-0.0014342248195863352,0.0
2017-03-23,1.0211696645020328e-06,0.00010957870690267638,3.701931614489941e-05,0.00023946939772647837,4.1641948806947645e-05,2.105804763776888e-05
2017-03-24,1.700423803516004e-05,-0.0001950184794983213,1.2583907713337513e-05,2.9584290529406468e-05,0.0005310038878498623,0.0001882223508383044
2017-03-27,0.00010752909878277994,-0.00011906539911132198,0.0005211781417254171,0.0002515873917102666,-2.048873577756236e-05,-2.5434895293678038e-05
2017-03-28,-0.00018006830857877698,0.00018107587386165724,-0.00039527357573498624,0.0002508832791317861,0.0,-0.0013467991192968446
2017-03-29,6.588306541411594e-05,-0.0002335371386903234,-8.418213855272439e-05,-9.023163465830212e-06,8.77932562555436e-05,0.0003058241062861343
2017-03-30,0.0,-0.00012408062483678422,-2.3239509805260614e-06,0.00021269734998844494,-2.9674266587579303e-05,-0.00013946311187666311
2017-03-31,0.0003205311181099299,8.04311817801345e-05,-2.001617980300074e-05,0.0011772054967246262,0.0005177990433808822,-9.061764614314027e-05
